U_alt,param_N,method_inference,U_H0,N_H0,N_alt,method_GOF,beta,power
exp,11,MME,exp,pois,pois,LT_L2,0.001,0.0161
exp,12,MME,exp,pois,pois,LT_L2,0.001,0.0188
exp,13,MME,exp,pois,pois,LT_L2,0.001,0.0202
exp,14,MME,exp,pois,pois,LT_L2,0.001,0.0291
exp,15,MME,exp,pois,pois,LT_L2,0.001,0.0284
exp,16,MME,exp,pois,pois,LT_L2,0.001,0.0328
exp,17,MME,exp,pois,pois,LT_L2,0.001,0.0365
exp,18,MME,exp,pois,pois,LT_L2,0.001,0.0279
exp,19,MME,exp,pois,pois,LT_L2,0.001,0.0321
exp,20,MME,exp,pois,pois,LT_L2,0.001,0.0351
exp,21,MME,exp,pois,pois,LT_L2,0.001,0.0329
exp,22,MME,exp,pois,pois,LT_L2,0.001,0.0374
exp,23,MME,exp,pois,pois,LT_L2,0.001,0.0357
exp,24,MME,exp,pois,pois,LT_L2,0.001,0.0362
exp,25,MME,exp,pois,pois,LT_L2,0.001,0.0406
exp,26,MME,exp,pois,pois,LT_L2,0.001,0.0365
exp,27,MME,exp,pois,pois,LT_L2,0.001,0.0326
exp,28,MME,exp,pois,pois,LT_L2,0.001,0.0374
exp,29,MME,exp,pois,pois,LT_L2,0.001,0.0383
exp,30,MME,exp,pois,pois,LT_L2,0.001,0.0357
exp,1,partial-MME,exp,pois,pois,LT_L2,0.001,0.0562
exp,2,partial-MME,exp,pois,pois,LT_L2,0.001,0.0499
exp,3,partial-MME,exp,pois,pois,LT_L2,0.001,0.0248
exp,4,partial-MME,exp,pois,pois,LT_L2,0.001,0.0652
exp,5,partial-MME,exp,pois,pois,LT_L2,0.001,0.0417
exp,6,partial-MME,exp,pois,pois,LT_L2,0.001,0.0185
exp,7,partial-MME,exp,pois,pois,LT_L2,0.001,0.0131
exp,8,partial-MME,exp,pois,pois,LT_L2,0.001,0.0123
exp,9,partial-MME,exp,pois,pois,LT_L2,0.001,0.0207
exp,10,partial-MME,exp,pois,pois,LT_L2,0.001,0.0162
exp,11,partial-MME,exp,pois,pois,LT_L2,0.001,0.0131
exp,12,partial-MME,exp,pois,pois,LT_L2,0.001,0.0164
exp,13,partial-MME,exp,pois,pois,LT_L2,0.001,0.0233
exp,14,partial-MME,exp,pois,pois,LT_L2,0.001,0.0238
