U_alt,shape_U,U_H0,method_GOF,beta,power
gamma,1.8,invgauss,LT_ODE,0.01,0.7109769484083425
gamma,2,invgauss,LT_ODE,0.01,0.6631284264551499
weibull,0.2,exp,LT_ODE,0.01,1
weibull,0.4,exp,LT_ODE,0.01,0.9996
weibull,0.6000000000000001,exp,LT_ODE,0.01,0.879
weibull,0.8,exp,LT_ODE,0.01,0.3263
weibull,1,exp,LT_ODE,0.01,0.0531
weibull,1.2,exp,LT_ODE,0.01,0.0065
weibull,1.4000000000000001,exp,LT_ODE,0.01,8e-4
weibull,1.6,exp,LT_ODE,0.01,2e-4
weibull,1.8,exp,LT_ODE,0.01,0
weibull,2,exp,LT_ODE,0.01,0
weibull,0.2,gamma,LT_ODE,0.01,0.4449
weibull,0.4,gamma,LT_ODE,0.01,0.3455
weibull,0.6000000000000001,gamma,LT_ODE,0.01,0.0204
weibull,0.8,gamma,LT_ODE,0.01,0.0237
weibull,1,gamma,LT_ODE,0.01,0.0497
weibull,1.2,gamma,LT_ODE,0.01,0.0836
weibull,1.4000000000000001,gamma,LT_ODE,0.01,0.09911982396479296
weibull,1.6,gamma,LT_ODE,0.01,0.12374849819783741
weibull,1.8,gamma,LT_ODE,0.01,0.13574796829537475
weibull,2,gamma,LT_ODE,0.01,0.16730613893376414
weibull,0.2,invgauss,LT_ODE,0.01,0.2096
weibull,0.4,invgauss,LT_ODE,0.01,0.9096
weibull,0.6000000000000001,invgauss,LT_ODE,0.01,0.9915
weibull,0.8,invgauss,LT_ODE,0.01,0.9669
weibull,1,invgauss,LT_ODE,0.01,0.9255329796817136
weibull,1.2,invgauss,LT_ODE,0.01,0.8803558646078331
weibull,1.4000000000000001,invgauss,LT_ODE,0.01,0.8503485495839892
weibull,1.6,invgauss,LT_ODE,0.01,0.8034128745837957
weibull,1.8,invgauss,LT_ODE,0.01,0.7566215965919615
weibull,2,invgauss,LT_ODE,0.01,0.687786465354543
invgauss,0.2,exp,LT_ODE,0.01,0
invgauss,0.4,exp,LT_ODE,0.01,0
invgauss,0.6000000000000001,exp,LT_ODE,0.01,0
invgauss,0.8,exp,LT_ODE,0.01,0
invgauss,1,exp,LT_ODE,0.01,0
invgauss,1.2,exp,LT_ODE,0.01,0
invgauss,1.4000000000000001,exp,LT_ODE,0.01,0
invgauss,1.6,exp,LT_ODE,0.01,0
invgauss,1.8,exp,LT_ODE,0.01,0
invgauss,2,exp,LT_ODE,0.01,0
invgauss,0.2,gamma,LT_ODE,0.01,0.022022332506203474
invgauss,0.4,gamma,LT_ODE,0.01,0.007712339743589744
invgauss,0.6000000000000001,gamma,LT_ODE,0.01,0.0013
invgauss,0.8,gamma,LT_ODE,0.01,8e-4
invgauss,1,gamma,LT_ODE,0.01,1e-4
